KT_Old_Accurate	KT_New_Accurate	KF_Old_Accurate	KF_New_Accurate	UT_Old_Accurate	UT_New_Accurate	UF_Old_Accurate	UF_New_Accurate	Imp1_2	Imp2_2	Imp3_2	Imp4_2	Condition	Random	Google	Random2	StartDate	EndDate	Finished	confirmCode	IDInst	Inst_Familiarity	Imp1_1	Imp2_1	Imp3_1	Imp4_1	Plau1_1	Plau2_1	Plau3_1	Plau4_1	True1_1	True2_1	True3_1	True4_1	True5_1	True6_1	True7_1	True8_1	True9_1	True10_1	False1_1	False2_1	False3_1	False4_1	False5_1	False6_1	False7_1	False8_1	False9_1	False10_1	Age	Sex	Education	English	Zipcode	PANAS	PANAS_1	PANAS_2	PANAS_3	PANAS_4	PANAS_5	PANAS_6	PANAS_7	PANAS_8	PANAS_9	PANAS_10	PANAS_11	PANAS_12	PANAS_13	PANAS_14	PANAS_15	PANAS_16	PANAS_17	PANAS_18	PANAS_19	PANAS_20	Inst_Accuracy	Plau1_2	Plau2_2	Plau3_2	Plau4_2	True1_2	True2_2	True3_2	True4_2	True5_2	True6_2	True7_2	True8_2	True9_2	True10_2	False1_2	False2_2	False3_2	False4_2	False5_2	False6_2	False7_2	False8_2	False9_2	False10_2	Comments	Length	LocationLatitude	LocationLongitude	LocationAccuracy
5.5	6	1	1	3.8	3	3.4	2.8	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	902334	1	1	1	2	 	 	4	6	 	 	3	3	1	4	4	 	 	 	 	 	3	3	4	5	4	 	 	 	 	 	33	1	5	1	48703	1	4	1	1	1	4	1	1	1	2	3	1	5	1	2	1	5	5	2	3	1	1	5	6	6	6	6	4	1	3	5	4	3	3	4	1	1	4	4	4	4	3	2	2	3	4	Thanks for letting me participate.	"8 minutes, maybe"	43.04429626	-83.51920319	-1
4.5	6	1	1	3.8	3.6	3.6	3.2	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	867968	1	1	4	4	 	 	3	4	 	 	5	2	3	4	5	 	 	 	 	 	5	4	3	5	3	 	 	 	 	 	51	2	4	1	29102	1	2	2	1	1	1	1	1	1	1	1	2	4	1	1	2	1	3	1	1	1	1	4	5	6	6	4	4	2	4	5	6	3	3	4	2	4	2	4	4	4	4	4	1	2	5	"Thanks for the opportunity.  I would like to know how many were true or false, don't think I'm as good at trivia as I was hoping to be :)"	10 minutes	33.61740112	-80.21070099	-1
6	5.5	1	1	3.8	5	2.8	4	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	440105	1	1	1	1	 	 	1	1	 	 	3	1	4	5	4	 	 	 	 	 	4	4	4	4	4	 	 	 	 	 	44	1	5	1	83843	1	3	1	2	2	3	1	1	1	2	2	2	3	1	1	2	2	4	1	3	1	1	6	6	5	6	6	1	4	4	4	6	4	6	4	5	1	4	1	4	4	4	4	4	4	4	fun	5 minutes	46.7171936	-116.9179001	-1
5.5	6	1	1	4.6	4.4	3.8	3.4	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	151704	1	1	1	1	 	 	2	1	 	 	4	1	5	4	5	 	 	 	 	 	1	2	3	4	4	 	 	 	 	 	30	2	4	1	41568	1	4	1	1	1	3	1	1	1	1	1	1	4	1	1	1	5	5	1	3	1	1	5	6	6	6	6	4	4	4	5	5	4	3	4	6	4	4	3	4	4	4	1	4	4	4	 	5 minutes	37.48789978	-82.49559784	-1
6	6	1	1	2.8	3	3.6	4.2	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	724546	1	1	3	6	 	 	2	1	 	 	5	1	4	5	6	 	 	 	 	 	2	4	6	5	4	 	 	 	 	 	34	1	5	1	48307	1	4	1	4	1	1	1	1	1	4	3	1	4	1	3	1	4	1	1	3	1	1	6	6	6	6	1	2	5	1	5	2	4	2	6	1	5	4	5	3	1	1	4	6	5	5	N/A	10 minutes	42.4644928	-83.376297	-1
5.5	6	1	1	4.4	2	2.8	3	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	924819	1	1	3	1	 	 	4	3	 	 	4	4	4	4	4	 	 	 	 	 	5	3	4	5	4	 	 	 	 	 	37	2	2	1	28613	1	3	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	1	1	5	6	6	6	5	4	5	4	4	1	1	2	5	1	4	2	1	2	5	2	3	3	5	2	 	7 minutes	35.91830444	-81.20020294	-1
6	6	1	1	4.2	5.8	3	1.6	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	119035	1	1	1	1	 	 	1	1	 	 	2	1	1	1	1	 	 	 	 	 	1	1	1	1	1	 	 	 	 	 	58	1	5	1	90045	1	3	1	1	1	4	1	1	1	3	3	1	5	1	2	1	3	4	1	4	1	1	6	6	6	6	5	6	3	3	4	6	6	6	6	5	4	2	4	3	2	1	1	1	4	1	no	12	34.02909851	-118.3992996	-1
6	5.5	1	1	4.2	4.8	2.6	3	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	967214	1	1	5	5	 	 	1	1	 	 	5	2	4	4	5	 	 	 	 	 	5	4	5	6	4	 	 	 	 	 	48	1	6	1	27704	1	4	1	3	1	4	1	1	3	 	3	2	5	1	3	1	5	5	1	3	1	1	6	6	5	6	6	4	4	4	3	6	5	6	1	6	2	1	3	3	4	4	1	1	4	5	Interesting and rather fun	about 6-8 minutes	36.03779602	-78.9858017	-1
6	6	1	1	3.6	4.8	4	4.2	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	444093	1	1	1	6	 	 	4	5	 	 	3	4	4	5	4	 	 	 	 	 	3	3	4	4	2	 	 	 	 	 	61	2	3	1	60031	1	4	 	3	1	3	1	1	 	3	3	1	4	1	3	1	2	 	1	1	1	1	6	6	6	6	1	3	4	6	4	6	5	4	5	4	4	4	4	4	4	4	4	5	4	4	None	5 minutes	42.37379456	-87.94400024	-1
6	6	1	1	6	2.6	5.4	4	1	1	1	1	1	2	2	2	3/30/2017	3/30/2017	1	155520	1	1	1	1	 	 	2	1	 	 	6	4	6	5	6	 	 	 	 	 	5	5	4	6	6	 	 	 	 	 	50	2	2	1	18702	1	5	1	1	2	3	1	1	1	3	3	2	5	1	1	1	5	5	1	3	1	1	6	6	6	6	6	6	6	6	6	4	4	3	1	1	6	3	6	6	6	4	2	6	4	4	 	9	41.228302	-75.79350281	-1
